name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,enrollment
Louisburg College,North Carolina,NC,Private,2 Year,10709.0,18581,29290,18581,29290,,,,,,,1438.0
Louisiana College,Louisiana,LA,Private,4 Year,5618.0,17000,22618,17000,22618,17.0,Louisiana,44800.0,79800.0,58.0,4.0,2280.0
Louisiana State University and Agricultural and Mechanical College,Louisiana,LA,Public,4 Year,11830.0,11950,23780,28627,40457,,,,,,,
Louisiana State University at Alexandria,Louisiana,LA,Public,4 Year,,6964,6964,14230,14230,,,,,,,5299.0
Louisiana State University at Eunice,Louisiana,LA,Public,2 Year,5214.0,6500,11714,11864,17078,,,,,,,5528.0
Louisiana State University Health Sciences Center New Orleans,Louisiana,LA,Public,4 Year,5650.0,6923,12573,13705,19355,,,,,,,
Louisiana State University in Shreveport,Louisiana,LA,Public,4 Year,,7235,7235,20389,20389,,,,,,,
Louisiana Tech University,Louisiana,LA,Public,4 Year,6495.0,9645,16140,18558,25053,3.0,Louisiana,53100.0,100700.0,57.0,24.0,18650.0
Lourdes University,Ohio,OH,Private,4 Year,10100.0,22480,32580,22480,32580,,,,,,,3499.0
Lower Columbia College,Washington,WA,Public,2 Year,,4624,4624,5102,5102,,,,,,,5747.0
Loyola Marymount University,California,CA,Private,4 Year,14490.0,48522,63012,48522,63012,18.0,California,58500.0,113300.0,39.0,9.0,19544.0
Loyola University Chicago,Illinois,IL,Private,4 Year,14480.0,44048,58528,44048,58528,12.0,Illinois,53400.0,96000.0,45.0,15.0,31048.0
Loyola University Maryland,Maryland,MD,Private,4 Year,14430.0,49085,63515,49085,63515,5.0,Maryland,59900.0,111200.0,40.0,8.0,10910.0
Loyola University New Orleans,Louisiana,LA,Private,4 Year,13380.0,39692,53072,39692,53072,9.0,Louisiana,47900.0,88600.0,47.0,4.0,8532.0
Lubbock Christian University,Texas,TX,Private,4 Year,7702.0,22440,30142,22440,30142,,,,,,,3712.0
Luna Community College,New Mexico,NM,Public,2 Year,,962,962,2426,2426,,,,,,,3235.0
Lurleen B. Wallace Community College,Alabama,AL,Public,2 Year,,4740,4740,8610,8610,,,,,,,3006.0
Luther College,Iowa,IA,Private,4 Year,9460.0,42290,51750,42290,51750,14.0,Iowa,48200.0,85900.0,49.0,21.0,3935.0
Luther Rice College and Seminary,Georgia,GA,Private,4 Year,,9520,9520,9520,9520,,,,,,,
Luzerne County Community College,Pennsylvania,PA,Public,2 Year,,5430,5430,13230,13230,,,,,,,10688.0
Lycoming College,Pennsylvania,PA,Private,4 Year,12568.0,40315,52883,40315,52883,,,,,,,2281.0
Lyndon State College,Vermont,VT,Public,4 Year,10598.0,12074,22672,25394,35992,13.0,Vermont,41500.0,75100.0,49.0,8.0,2193.0
Lynn University,Florida,FL,Private,4 Year,12170.0,38210,50380,38210,50380,22.0,Florida,46100.0,85000.0,45.0,2.0,
Lyon College,Arkansas,AR,Private,4 Year,9130.0,28790,37920,28790,37920,15.0,Arkansas,41200.0,74300.0,53.0,33.0,1162.0
Macalester College,Minnesota,MN,Private,4 Year,12156.0,54344,66500,54344,66500,6.0,Minnesota,53600.0,100400.0,51.0,31.0,3759.0
MacCormac College,Illinois,IL,Private,2 Year,,13520,13520,13520,13520,,,,,,,561.0
Machzikei Hadath Rabbinical College,New York,NY,Private,4 Year,,11500,11500,11500,11500,,,,,,,147.0
MacMurray College,Illinois,IL,Private,4 Year,9440.0,27690,37130,27690,37130,,,,,,,969.0
Macomb Community College,Michigan,MI,Public,2 Year,,3270,3270,7380,7380,,,,,,,39633.0
Madison Area Technical College,Wisconsin,WI,Public,2 Year,,4401,4401,6414,6414,,,,,,,29822.0
Madisonville Community College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,,7105.0
Madonna University,Michigan,MI,Private,4 Year,9950.0,21900,31850,21900,31850,,,,,,,7465.0
Maharishi University of Management,Iowa,IA,Private,4 Year,7400.0,16530,23930,16530,23930,16.0,Iowa,46800.0,85200.0,,65.0,2120.0
Maine College of Art,Maine,ME,Private,4 Year,11890.0,35000,46890,35000,46890,17.0,Maine,36300.0,64600.0,37.0,0.0,862.0
Maine College of Health Professions,Maine,ME,Private,2 Year,1900.0,9310,11210,9310,11210,,,,,,,
Maine Maritime Academy,Maine,ME,Public,4 Year,10310.0,13478,23788,27098,37408,1.0,Maine,67000.0,121800.0,65.0,48.0,1233.0
Malone University,Ohio,OH,Private,4 Year,9500.0,30860,40360,30860,40360,,,,,,,3411.0
Manchester Community College,New Hampshire,NH,Public,2 Year,,7050,7050,15300,15300,,,,,,,
Manchester Community College,Connecticut,CT,Public,2 Year,,4424,4424,13192,13192,,,,,,,
Manchester University,Indiana,IN,Private,4 Year,9580.0,32758,42338,32758,42338,20.0,Indiana,46900.0,84700.0,56.0,10.0,2541.0
Manhattan Area Technical College,Kansas,KS,Public,2 Year,,6000,6000,6000,6000,,,,,,,1311.0
Manhattan Christian College,Kansas,KS,Private,4 Year,9092.0,15850,24942,15850,24942,24.0,Kansas,39400.0,72200.0,,0.0,484.0
Manhattan College,New York,NY,Private,4 Year,16200.0,43480,59680,43480,59680,12.0,New-York,64000.0,125700.0,46.0,40.0,6830.0
Manhattan School of Music,New York,NY,Private,4 Year,13135.0,47300,60435,47300,60435,,,,,,,1649.0
Manhattanville College,New York,NY,Private,4 Year,14520.0,38820,53340,38820,53340,,,,,,,5312.0
Manor College,Pennsylvania,PA,Private,2 Year,7729.0,17028,24757,17028,24757,,,,,,,1748.0
Mansfield University of Pennsylvania,Pennsylvania,PA,Public,4 Year,11928.0,12330,24258,21780,33708,,,,,,,4849.0
Manthano Christian College,Michigan,MI,Private,4 Year,,7050,7050,7050,7050,,,,,,,60.0
Maranatha Baptist University,Wisconsin,WI,Private,4 Year,7100.0,15410,22510,15410,22510,,,,,,,1717.0
Maria College,New York,NY,Private,2 Year,,15140,15140,15140,15140,,,,,,,
Marian University,Wisconsin,WI,Private,4 Year,7222.0,27400,34622,27400,34622,,,,,,,
Marian University,Indiana,IN,Private,4 Year,10640.0,34000,44640,34000,44640,,,,,,,
Marietta College,Ohio,OH,Private,4 Year,11320.0,36040,47360,36040,47360,15.0,Ohio,51200.0,94300.0,57.0,45.0,2304.0
Marion Military Institute,Alabama,AL,Public,2 Year,4950.0,9418,14368,15418,20368,,,,,,,706.0
Marion Technical College,Ohio,OH,Public,2 Year,,5282,5282,7202,7202,,,,,,,4190.0
Marist College,New York,NY,Private,4 Year,15550.0,39600,55150,39600,55150,,,,,,,11165.0
Marlboro College,Vermont,VT,Private,4 Year,12285.0,40840,53125,40840,53125,,,,,,,364.0
Marquette University,Wisconsin,WI,Private,4 Year,12720.0,41870,54590,41870,54590,2.0,Wisconsin,57800.0,105900.0,52.0,25.0,20221.0
Mars Hill University,North Carolina,NC,Private,4 Year,9592.0,32968,42560,32968,42560,,,,,,,2545.0
Marshall University,West Virginia,WV,Public,4 Year,10450.0,8128,18578,18614,29064,9.0,West-Virginia,45000.0,79700.0,50.0,12.0,22665.0
Marshalltown Community College,Iowa,IA,Public,2 Year,,5970,5970,6390,6390,,,,,,,3628.0
Martin Community College,North Carolina,NC,Public,2 Year,,2318,2318,8078,8078,,,,,,,938.0
Martin Luther College,Minnesota,MN,Private,4 Year,6080.0,15410,21490,15410,21490,,,,,,,1315.0
Martin Methodist College,Tennessee,TN,Private,4 Year,8400.0,24246,32646,24246,32646,,,,,,,1907.0
Martin University,Indiana,IN,Private,4 Year,7810.0,16500,24310,16500,24310,,,,,,,1052.0
Mary Baldwin University,Virginia,VA,Private,4 Year,9410.0,31085,40495,31085,40495,,,,,,,
Marygrove College,Michigan,MI,Private,4 Year,7800.0,23630,31430,23630,31430,,,,,,,3913.0
Maryland Institute College of Art,Maryland,MD,Private,4 Year,13280.0,48630,61910,48630,61910,24.0,Maryland,49000.0,84500.0,40.0,0.0,4544.0
Marylhurst University,Oregon,OR,Private,4 Year,,20835,20835,20835,20835,19.0,Oregon,46200.0,79800.0,63.0,0.0,2354.0
Marymount California University,California,CA,Private,4 Year,14666.0,36134,50800,36134,50800,,,,,,,2273.0
Marymount Manhattan College,New York,NY,Private,4 Year,16832.0,33778,50610,33778,50610,,,,,,,3874.0
Marymount University,Virginia,VA,Private,4 Year,13190.0,31466,44656,31466,44656,12.0,Virginia,52300.0,93100.0,44.0,15.0,7160.0
Maryville College,Tennessee,TN,Private,4 Year,11424.0,34880,46304,34880,46304,24.0,Tennessee,42800.0,75300.0,68.0,16.0,2095.0
Maryville University of Saint Louis,Missouri,MO,Private,4 Year,10088.0,28470,38558,28470,38558,18.0,Missouri,46800.0,80100.0,53.0,2.0,11773.0
Marywood University,Pennsylvania,PA,Private,4 Year,13900.0,34910,48810,34910,48810,,,,,,,5471.0
Massachusetts Bay Community College,Massachusetts,MA,Public,2 Year,,6360,6360,12540,12540,,,,,,,10107.0
Massachusetts College of Art and Design,Massachusetts,MA,Public,4 Year,13500.0,13200,26700,36400,49900,,,,,,,3956.0
Massachusetts College of Liberal Arts,Massachusetts,MA,Public,4 Year,10980.0,10734,21714,19679,30659,,,,,,,3217.0
Massachusetts Institute of Technology,Massachusetts,MA,Private,4 Year,15510.0,51832,67342,51832,67342,1.0,Massachusetts,86300.0,155200.0,52.0,69.0,19242.0
Massachusetts Maritime Academy,Massachusetts,MA,Public,4 Year,12675.0,9724,22399,26102,38777,8.0,Massachusetts,67900.0,117500.0,53.0,47.0,1829.0
Massasoit Community College,Massachusetts,MA,Public,2 Year,,6030,6030,12210,12210,,,,,,,15447.0
Mayland Community College,North Carolina,NC,Public,2 Year,,2409,2409,8169,8169,,,,,,,1637.0
Maysville Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,,5858.0
Mayville State University,North Dakota,ND,Public,4 Year,7840.0,6666,14506,9399,17239,4.0,North-Dakota,43700.0,81300.0,44.0,10.0,1870.0
McDaniel College,Maryland,MD,Private,4 Year,11430.0,43260,54690,43260,54690,12.0,Maryland,51100.0,94600.0,54.0,6.0,5826.0
McDowell Technical Community College,North Carolina,NC,Public,2 Year,,2333,2333,8093,8093,,,,,,,1845.0
McHenry County College,Illinois,IL,Public,2 Year,,3494,3494,14603,14603,,,,,,,11649.0
McKendree University,Illinois,IL,Private,4 Year,9920.0,30520,40440,30520,40440,,,,,,,5621.0
McLennan Community College,Texas,TX,Public,2 Year,,3450,3450,5700,5700,,,,,,,17398.0
McMurry University,Texas,TX,Private,4 Year,8602.0,27244,35846,27244,35846,,,,,,,1929.0
McNally Smith College of Music,Minnesota,MN,Private,4 Year,6260.0,29300,35560,29300,35560,,,,,,,767.0
McNeese State University,Louisiana,LA,Public,4 Year,8704.0,7859,16563,18934,27638,11.0,Louisiana,50200.0,88200.0,57.0,13.0,15341.0
McPherson College,Kansas,KS,Private,4 Year,8788.0,28951,37739,28951,37739,14.0,Kansas,44500.0,80900.0,59.0,9.0,1107.0
MCPHS University,Massachusetts,MA,Private,4 Year,16400.0,32705,49105,32705,49105,6.0,Massachusetts,65900.0,121800.0,71.0,2.0,13613.0
Medaille College,New York,NY,Private,4 Year,13500.0,29500,43000,29500,43000,,,,,,,4961.0
Medaille College: Rochester,New York,NY,Private,4 Year,,29500,29500,29500,29500,,,,,,,
Medical University of South Carolina,South Carolina,SC,Public,4 Year,,26826,26826,26826,26826,5.0,South-Carolina,54800.0,92700.0,88.0,6.0,5299.0
Memphis College of Art,Tennessee,TN,Private,4 Year,8890.0,33100,41990,33100,41990,,,,,,,889.0
Mendocino College,California,CA,Public,2 Year,,1420,1420,9160,9160,,,,,,,7549.0
Menlo College,California,CA,Private,4 Year,14225.0,42800,57025,42800,57025,20.0,California,61900.0,112400.0,59.0,0.0,1478.0
Merced College,California,CA,Public,2 Year,,1436,1436,9176,9176,,,,,,,23561.0
Mercer County Community College,New Jersey,NJ,Public,2 Year,,5257,5257,9547,9547,,,,,,,15510.0
Mercer University,Georgia,GA,Private,4 Year,11616.0,36894,48510,36894,48510,11.0,Georgia,48500.0,85100.0,62.0,14.0,17501.0
Mercy College,New York,NY,Private,4 Year,14400.0,19042,33442,19042,33442,,,,,,,26013.0
Mercy College of Health Sciences,Iowa,IA,Private,4 Year,,17752,17752,17752,17752,,,,,,,1536.0
Mercy College of Ohio,Ohio,OH,Private,4 Year,,15240,15240,15240,15240,,,,,,,
Mercyhurst University,Pennsylvania,PA,Private,4 Year,12880.0,38070,50950,38070,50950,,,,,,,4735.0
Meredith College,North Carolina,NC,Private,4 Year,10930.0,37176,48106,37176,48106,,,,,,,4137.0
Meridian Community College,Mississippi,MS,Public,2 Year,,3015,3015,3995,3995,,,,,,,7235.0
Merrimack College,Massachusetts,MA,Private,4 Year,15845.0,41760,57605,41760,57605,22.0,Massachusetts,56000.0,102500.0,50.0,13.0,5452.0
Merritt College,California,CA,Public,2 Year,,1420,1420,9610,9610,,,,,,,14440.0
Mesa Community College,Arizona,AZ,Public,2 Year,,2565,2565,9795,9795,,,,,,,43208.0
Mesabi Range College,Minnesota,MN,Public,2 Year,5526.0,5084,10610,6266,11792,,,,,,,
Mesalands Community College,New Mexico,NM,Public,2 Year,3975.0,2250,6225,3630,7605,,,,,,,1493.0
Mesivta Torah Vodaath Seminary,New York,NY,Private,4 Year,4500.0,10000,14500,10000,14500,,,,,,,344.0
Messiah College,Pennsylvania,PA,Private,4 Year,10520.0,35160,45680,35160,45680,,,,,,,5604.0
Methodist College,Illinois,IL,Private,4 Year,7440.0,20800,28240,20800,28240,23.0,Illinois,51400.0,90500.0,,0.0,
Methodist University,North Carolina,NC,Private,4 Year,12890.0,33846,46736,33846,46736,19.0,North-Carolina,45800.0,80500.0,58.0,9.0,4385.0
Metropolitan College of New York,New York,NY,Private,4 Year,,19454,19454,19454,19454,,,,,,,3119.0
Metropolitan Community College,Nebraska,NE,Public,2 Year,6255.0,3105,9360,4545,10800,,,,,,,
Metropolitan Community College - Kansas City,Missouri,MO,Public,2 Year,,3090,3090,7110,7110,,,,,,,
Metropolitan State University,Minnesota,MN,Public,4 Year,,7879,7879,14980,14980,20.0,Minnesota,50200.0,85900.0,53.0,11.0,16378.0
Metropolitan State University of Denver,Colorado,CO,Public,4 Year,,7665,7665,20847,20847,11.0,Colorado,49400.0,87200.0,51.0,11.0,
Miami Dade College,Florida,FL,Public,2 Year,,3547,3547,12075,12075,,,,,,,160930.0
Miami University: Hamilton,Ohio,OH,Public,2 Year,,5880,5880,16472,16472,,,,,,,
Miami University: Middletown,Ohio,OH,Public,2 Year,,5880,5880,16472,16472,,,,,,,
Miami University: Oxford,Ohio,OH,Public,4 Year,13860.0,15378,29238,34895,48755,,,,,,,
Michigan Jewish Institute,Michigan,MI,Private,4 Year,,10600,10600,10600,10600,,,,,,,1600.0
Michigan State University,Michigan,MI,Public,4 Year,10322.0,14460,24782,39765,50087,5.0,Michigan,55300.0,100800.0,46.0,20.0,84526.0
Michigan Technological University,Michigan,MI,Public,4 Year,10756.0,15646,26402,33726,44482,2.0,Michigan,65000.0,116300.0,47.0,81.0,9457.0
Mid Michigan Community College,Michigan,MI,Public,2 Year,,4744,4744,7080,7080,,,,,,,7360.0
Mid-America Christian University,Oklahoma,OK,Private,4 Year,8036.0,18334,26370,18334,26370,21.0,Oklahoma,40700.0,74100.0,71.0,0.0,5573.0
Mid-America College of Funeral Service,Indiana,IN,Private,2 Year,,15600,15600,15600,15600,,,,,,,94.0
Mid-Atlantic Christian University,North Carolina,NC,Private,4 Year,8600.0,14400,23000,14400,23000,,,,,,,376.0
Mid-Plains Community College,Nebraska,NE,Public,2 Year,6450.0,3210,9660,4130,10580,,,,,,,3734.0
Mid-State Technical College,Wisconsin,WI,Public,2 Year,,4026,4026,6039,6039,,,,,,,4639.0
MidAmerica Nazarene University,Kansas,KS,Private,4 Year,8708.0,30736,39444,30736,39444,18.0,Kansas,46200.0,78500.0,60.0,1.0,3449.0
Middle Georgia State University,Georgia,GA,Public,4 Year,9080.0,4608,13688,13568,22648,23.0,Georgia,44000.0,79800.0,57.0,11.0,
Middle Tennessee State University,Tennessee,TN,Public,4 Year,9436.0,9206,18642,28364,37800,15.0,Tennessee,46500.0,81100.0,52.0,9.0,41709.0
Middlebury College,Vermont,VT,Private,4 Year,15530.0,54450,69980,54450,69980,1.0,Vermont,60400.0,109800.0,54.0,19.0,4432.0
Middlesex Community College,Connecticut,CT,Public,2 Year,,4404,4404,13172,13172,,,,,,,18043.0
Middlesex Community College,Massachusetts,MA,Public,2 Year,,6450,6450,12630,12630,,,,,,,18043.0
Middlesex County College,New Jersey,NJ,Public,2 Year,,4410,4410,4410,4410,,,,,,,25264.0
Midland College,Texas,TX,Public,2 Year,5224.0,2670,7894,5550,10774,,,,,,,9924.0
Midland University,Nebraska,NE,Private,4 Year,8776.0,32558,41334,32558,41334,13.0,Nebraska,43800.0,78100.0,60.0,7.0,2264.0
Midlands Technical College,South Carolina,SC,Public,2 Year,,5598,5598,16278,16278,,,,,,,23412.0
Midstate College,Illinois,IL,For Profit,4 Year,,10820,10820,10820,10820,,,,,,,1068.0
Midway University,Kentucky,KY,Private,4 Year,8480.0,24650,33130,24650,33130,22.0,Kentucky,39200.0,70300.0,53.0,3.0,
Midwest University,Missouri,MO,Private,4 Year,,7770,7770,7770,7770,,,,,,,
Midwestern State University,Texas,TX,Public,4 Year,8877.0,9019,17896,10969,19846,,,,,,,11385.0
Mildred Elley: Albany,New York,NY,For Profit,2 Year,,15000,15000,15000,15000,,,,,,,
Mildred Elley: New York City,New York,NY,For Profit,2 Year,,13500,13500,13500,13500,,,,,,,
Miles College,Alabama,AL,Private,4 Year,7042.0,11604,18646,11604,18646,25.0,Alabama,34800.0,65100.0,64.0,19.0,4401.0
Miles Community College,Montana,MT,Public,2 Year,6280.0,4230,10510,8820,15100,,,,,,,725.0
Millersville University of Pennsylvania,Pennsylvania,PA,Public,4 Year,13658.0,12226,25884,21946,35604,,,,,,,14375.0
Milligan College,Tennessee,TN,Private,4 Year,7100.0,33700,40800,33700,40800,25.0,Tennessee,41200.0,74900.0,63.0,5.0,2061.0
Millikin University,Illinois,IL,Private,4 Year,11818.0,35102,46920,35102,46920,,,,,,,4032.0
Mills College,California,CA,Private,4 Year,13448.0,30257,43705,30257,43705,,,,,,,3674.0
Millsaps College,Mississippi,MS,Private,4 Year,13730.0,39910,53640,39910,53640,3.0,Mississippi,49300.0,88700.0,56.0,24.0,1409.0
Milwaukee Area Technical College,Wisconsin,WI,Public,2 Year,,4515,4515,6528,6528,,,,,,,34572.0
Milwaukee Institute of Art & Design,Wisconsin,WI,Private,4 Year,9300.0,37360,46660,37360,46660,,,,,,,1202.0
Milwaukee School of Engineering,Wisconsin,WI,Private,4 Year,10389.0,40749,51138,40749,51138,1.0,Wisconsin,65700.0,117600.0,50.0,69.0,3829.0
Mineral Area College,Missouri,MO,Public,2 Year,7420.0,3670,11090,6430,13850,,,,,,,7364.0
Minneapolis College of Art and Design,Minnesota,MN,Private,4 Year,5610.0,39210,44820,39210,44820,24.0,Minnesota,47400.0,84700.0,39.0,0.0,1440.0
Minneapolis Community and Technical College,Minnesota,MN,Public,2 Year,11058.0,5396,16454,5396,16454,,,,,,,19527.0
Minnesota State College - Southeast Technical,Minnesota,MN,Public,2 Year,,5628,5628,5628,5628,,,,,,,
Minnesota State Community and Technical College,Minnesota,MN,Public,2 Year,5000.0,5358,10358,5358,10358,,,,,,,
Minnesota State University Mankato,Minnesota,MN,Public,4 Year,8719.0,8184,16903,16235,24954,,,,,,,
Minnesota State University Moorhead,Minnesota,MN,Public,4 Year,9280.0,8574,17854,15983,25263,,,,,,,
Minnesota West Community and Technical College,Minnesota,MN,Public,2 Year,,5692,5692,5692,5692,,,,,,,5523.0
Minot State University,North Dakota,ND,Public,4 Year,6610.0,7064,13674,7064,13674,7.0,North-Dakota,44500.0,74100.0,55.0,7.0,6023.0
MiraCosta College,California,CA,Public,2 Year,,1428,1428,8448,8448,,,,,,,
Mirrer Yeshiva Central Institute,New York,NY,Private,4 Year,6172.0,7260,13432,7260,13432,,,,,,,197.0
Misericordia University,Pennsylvania,PA,Private,4 Year,13960.0,33240,47200,33240,47200,,,,,,,5346.0
Mission College,California,CA,Public,2 Year,,1572,1572,9312,9312,,,,,,,19713.0
Mississippi College,Mississippi,MS,Private,4 Year,10300.0,18026,28326,18026,28326,5.0,Mississippi,45200.0,79500.0,57.0,20.0,9434.0
Mississippi Delta Community College,Mississippi,MS,Public,2 Year,3480.0,3060,6540,4668,8148,,,,,,,6104.0
Mississippi Gulf Coast Community College,Mississippi,MS,Public,2 Year,4700.0,3320,8020,6420,11120,,,,,,,
Mississippi State University,Mississippi,MS,Public,4 Year,10090.0,8760,18850,23360,33450,1.0,Mississippi,51100.0,94100.0,57.0,27.0,34909.0
Mississippi University for Women,Mississippi,MS,Public,4 Year,7424.0,7040,14464,7040,14464,10.0,Mississippi,39500.0,69500.0,63.0,2.0,5956.0
Mississippi Valley State University,Mississippi,MS,Public,4 Year,8043.0,6570,14613,6570,14613,14.0,Mississippi,32500.0,61900.0,70.0,11.0,5609.0
Missouri Baptist University,Missouri,MO,Private,4 Year,8720.0,27124,35844,27124,35844,,,,,,,9309.0
Missouri Southern State University,Missouri,MO,Public,4 Year,6865.0,6967,13832,13934,20799,,,,,,,9733.0
Missouri State University,Missouri,MO,Public,4 Year,8755.0,7452,16207,15342,24097,,,,,,,37142.0
Missouri State University: West Plains,Missouri,MO,Public,2 Year,8537.0,4305,12842,8355,16892,,,,,,,
Missouri University of Science and Technology,Missouri,MO,Public,4 Year,10274.0,10169,20443,28499,38773,1.0,Missouri,67300.0,122600.0,50.0,80.0,11577.0
Missouri Valley College,Missouri,MO,Private,4 Year,9150.0,20600,29750,20600,29750,,,,,,,2809.0
Missouri Western State University,Missouri,MO,Public,4 Year,,6466,6466,14137,14137,22.0,Missouri,43400.0,77700.0,53.0,14.0,10163.0
Mitchell College,Connecticut,CT,Private,4 Year,13000.0,33200,46200,33200,46200,,,,,,,1409.0
Mitchell Community College,North Carolina,NC,Public,2 Year,,2348,2348,8108,8108,,,,,,,5874.0
Mitchell Technical Institute,South Dakota,SD,Public,2 Year,,6300,6300,6300,6300,,,,,,,1761.0
Moberly Area Community College,Missouri,MO,Public,2 Year,7872.0,3450,11322,6840,14712,,,,,,,9530.0
Modesto Junior College,California,CA,Public,2 Year,,1416,1416,9156,9156,,,,,,,37985.0
Mohave Community College,Arizona,AZ,Public,2 Year,,2640,2640,8715,8715,,,,,,,9135.0
Mohawk Valley Community College,New York,NY,Public,2 Year,10470.0,5256,15726,9626,20096,,,,,,,12376.0
Molloy College,New York,NY,Private,4 Year,15032.0,31490,46522,31490,46522,,,,,,,9570.0
Monmouth College,Illinois,IL,Private,4 Year,8966.0,37674,46640,37674,46640,,,,,,,2368.0
Monmouth University,New Jersey,NJ,Private,4 Year,13981.0,38138,52119,38138,52119,18.0,New-Jersey,52200.0,93200.0,44.0,13.0,11761.0
Monroe College,New York,NY,For Profit,4 Year,10850.0,15428,26278,15428,26278,,,,,,,
Monroe Community College,New York,NY,Public,2 Year,6780.0,4986,11766,9466,16246,,,,,,,29161.0
Monroe County Community College,Michigan,MI,Public,2 Year,,3965,3965,7175,7175,,,,,,,5712.0
Montana Bible College,Montana,MT,Private,4 Year,3200.0,8120,11320,8120,11320,,,,,,,
Montana State University,Montana,MT,Public,4 Year,10100.0,7421,17521,24849,34949,2.0,Montana,53700.0,96200.0,54.0,31.0,
Montana State University: Billings,Montana,MT,Public,4 Year,7680.0,5930,13610,19250,26930,,,,,,,
Montana State University: Northern,Montana,MT,Public,4 Year,6520.0,5956,12476,18556,25076,,,,,,,
Montana Tech of the University of Montana,Montana,MT,Public,4 Year,9656.0,7411,17067,22574,32230,1.0,Montana,61200.0,112600.0,64.0,61.0,2875.0
Montcalm Community College,Michigan,MI,Public,2 Year,,4530,4530,11280,11280,,,,,,,3096.0
Montclair State University,New Jersey,NJ,Public,4 Year,15564.0,12790,28354,20578,36142,14.0,New-Jersey,50800.0,95400.0,42.0,9.0,40772.0
Monterey Peninsula College,California,CA,Public,2 Year,,1450,1450,9190,9190,,,,,,,16058.0
Montgomery College Rockville,Maryland,MD,Public,2 Year,,5178,5178,13602,13602,,,,,,,
Montgomery Community College,North Carolina,NC,Public,2 Year,,2385,2385,8145,8145,,,,,,,1662.0
Montgomery County Community College,Pennsylvania,PA,Public,2 Year,,5730,5730,14970,14970,,,,,,,23621.0
Montreat College,North Carolina,NC,Private,4 Year,9149.0,26670,35819,26670,35819,,,,,,,1743.0
Montserrat College of Art,Massachusetts,MA,Private,4 Year,9900.0,33400,43300,33400,43300,,,,,,,767.0
Moody Bible Institute,Illinois,IL,Private,4 Year,11820.0,13565,25385,13565,25385,,,,,,,6280.0
Moore College of Art and Design,Pennsylvania,PA,Private,4 Year,15564.0,41728,57292,41728,57292,,,,,,,1044.0
Moorpark College,California,CA,Public,2 Year,,1448,1448,9248,9248,,,,,,,27606.0
Moraine Park Technical College,Wisconsin,WI,Public,2 Year,,4065,4065,4065,4065,,,,,,,10573.0
Moraine Valley Community College,Illinois,IL,Public,2 Year,,4356,4356,11196,11196,,,,,,,28778.0
Moravian College,Pennsylvania,PA,Private,4 Year,13378.0,43636,57014,43636,57014,,,,,,,3476.0
Morehead State University,Kentucky,KY,Public,4 Year,9960.0,9170,19130,13646,23606,16.0,Kentucky,41300.0,74900.0,56.0,9.0,18532.0
Morehouse College,Georgia,GA,Private,4 Year,13438.0,27574,41012,27574,41012,4.0,Georgia,55700.0,98700.0,58.0,26.0,4117.0
Moreno Valley College,California,CA,Public,2 Year,,1416,1416,8436,8436,,,,,,,20970.0
Morgan Community College,Colorado,CO,Public,2 Year,,4645,4645,18505,18505,,,,,,,3394.0
Morgan State University,Maryland,MD,Public,4 Year,10260.0,7900,18160,18167,28427,,,,,,,18904.0
Morningside College,Iowa,IA,Private,4 Year,9610.0,31530,41140,31530,41140,19.0,Iowa,44900.0,82100.0,60.0,6.0,4928.0
Morris College,South Carolina,SC,Private,4 Year,6033.0,13886,19919,13886,19919,,,,,,,2000.0
Morrison Institute of Technology,Illinois,IL,Private,2 Year,5200.0,16100,21300,16100,21300,,,,,,,103.0
Morton College,Illinois,IL,Public,2 Year,,4080,4080,9840,9840,,,,,,,11512.0
Motlow State Community College,Tennessee,TN,Public,2 Year,,4445,4445,13211,13211,,,,,,,8357.0
Mott Community College,Michigan,MI,Public,2 Year,,5030,5030,8657,8657,,,,,,,16531.0
Mount Aloysius College,Pennsylvania,PA,Private,4 Year,10648.0,23110,33758,23110,33758,,,,,,,3282.0
Mount Carmel College of Nursing,Ohio,OH,Private,4 Year,5000.0,13907,18907,13907,18907,8.0,Ohio,56600.0,99700.0,78.0,0.0,2193.0
Mount Holyoke College,Massachusetts,MA,Private,4 Year,14660.0,49998,64658,49998,64658,,,,,,,5106.0
Mount Ida College,Massachusetts,MA,Private,4 Year,13680.0,35720,49400,35720,49400,,,,,,,2551.0
Mount Marty College,South Dakota,SD,Private,4 Year,7986.0,27276,35262,27276,35262,8.0,South-Dakota,41400.0,76500.0,67.0,5.0,2108.0
Mount Mary University,Wisconsin,WI,Private,4 Year,8600.0,30100,38700,30100,38700,,,,,,,3202.0
Mount Mercy University,Iowa,IA,Private,4 Year,9534.0,31798,41332,31798,41332,22.0,Iowa,47200.0,79000.0,51.0,4.0,3164.0
Mount Saint Mary College,New York,NY,Private,4 Year,15108.0,31118,46226,31118,46226,,,,,,,4846.0
Mount Saint Mary's University,California,CA,Private,4 Year,12235.0,41170,53405,41170,53405,,,,,,,
Mount San Antonio College,California,CA,Public,2 Year,,1442,1442,9414,9414,,,,,,,
